g1	0.7575758	0.625	1.149425	1.351351	1.149425	0.6993007	1.010101	1.162791	0.8403361	0.8064516	0.8064516	0.7936508	0.9433963	0.6711409	0.7633588	2.631579	0.5154639	0.6711409	0.8928571	0.5102041	1.369863	1.265823	1.086957	0.8064516	0.6993007	0.6369426	0.6666667	0.5988024	0.421941	0.7042254	0.5494505	0.9803922	1.098901	0.6896551	0.3367003	0.5952381	0.4878049	1.190476	0.8695652	2.325581	1.162791	0.5025126	0.952381	0.8064516	2.777778	1.25	0.6944444	1.030928	0.6944444	0.5681818	0.7194245	0.7194245	0.9433963
g2	2.702703	2.439024	3.333333	1.960784	3.125	1.428571	1.470588	2.083333	2.222222	5.555555	2.702703	3.703704	0.7633588	2.325581	7.142857	1.351351	1.612903	2.272727	2.941176	2.380952	5	3.225806	2.173913	0.7751938	0.7407407	0.3676471	0.990099	0.9433963	1.639344	1.315789	0.952381	1.086957	1.333333	3.846154	0.8695652	2.857143	0.5181347	2.5	1.470588	1.785714	1.234568	1.298701	1.492537	0.8849558	0.9174312	1.449275	1.470588	1.694915	1.470588	2.439024	1.136364	1.694915	0.7194245
g3	0.2659574	0.8928571	1.075269	1.492537	1.369863	0.9090909	1	2.12766	1.754386	1.298701	1.470588	1.265823	1.470588	1.851852	0.9615385	1.204819	0.8474576	1.020408	2	1.612903	3.846154	2.12766	1.204819	0.9615385	0.7874016	1.219512	0.5586593	0.9433963	0.9345794	1.25	0.5347593	1.149425	0.5813953	1.265823	1.204819	1.754386	1.587302	1.960784	1.666667	1.219512	0.5235602	0.7407407	1.923077	1.470588	2.439024	1.612903	1.818182	1.470588	0.3436426	0.2816902	0.729927	2	1.315789
g4	0.6944444	0.421941	0.5681818	0.1766784	0.2309469	0.2183406	0.5494505	0.6410257	0.5988024	0.7246377	0.3745318	0.8130081	0.2793296	1.265823	0.8333333	0.6535948	0.4385965	0.952381	0.7518797	1.818182	0.4424779	2.173913	1.098901	0.9009009	0.862069	0.862069	0.4784689	0.0103605	0.3558719	0.7142857	0.6060606	0.4545454	0.5524862	0.5813953	0.7194245	0.7936508	3.846154	0.9615385	0.4807692	1.052632	0.7575758	0.7692308	6.666667	2.12766	4.761905	0.3401361	0.4901961	1.960784	0.1037344	0.6493506	0.456621	2.439024	0.9009009
g5	0.9174312	1.06383	1.020408	0.8064516	1.111111	0.5882353	0.7462686	0.6849315	0.6896551	0.9803922	0.6024097	0.8196721	0.7092199	1.111111	0.9174312	0.7575758	0.7407407	0.952381	0.9615385	0.9345794	1.282051	1.075269	0.6944444	1.886793	1.351351	2.222222	3.125	1.098901	1.515152	2.040816	7.142857	0.8064516	0.9433963	1.234568	0.8928571	0.7575758	0.7246377	1.176471	1.176471	2.857143	1.333333	1.149425	0.8547009	0.8064516	1.5625	0.5154639	1.25	1.136364	1.06383	0.8547009	1.020408	1.515152	2.040816
g6	0.6060606	0.8264462	1.724138	0.5847953	0.729927	0.7092199	1.282051	0.990099	1.265823	1.06383	0.8928571	1	0.729927	0.8695652	1.204819	1.724138	0.990099	1.204819	1.351351	1.010101	0.7518797	1.075269	0.8849558	1.587302	1.204819	0.6896551	1	0.6896551	0.8403361	0.4329004	0.5102041	1.5625	0.9259259	0.8849558	0.6944444	0.621118	0.7194245	1.111111	1.190476	1.123595	0.9345794	1.020408	0.7462686	0.9174312	0.8695652	1.020408	0.8264462	1.204819	1.010101	1.075269	0.5649717	0.8928571	1.123595
g7	0.9345794	1.123595	0.9803922	1.234568	0.8264462	0.729927	0.7936508	1.075269	1.176471	1.428571	0.9174312	0.877193	1.111111	1.052632	0.8928571	0.5917159	0.7246377	0.5882353	1.06383	1.041667	1.219512	0.9259259	0.6711409	1.265823	0.9174312	0.9708738	1.176471	0.5347593	0.6944444	1.136364	0.9174312	0.9009009	0.8264462	1.587302	0.9259259	0.877193	2.040816	0.8474576	1.666667	1.666667	1.176471	1.086957	0.7874016	1.204819	1.219512	0.9433963	1.075269	0.9174312	1.098901	0.6896551	0.877193	0.9009009	1.369863
g8	1.470588	1.492537	1.25	1.265823	1.5625	1.190476	1.111111	1.351351	1.515152	1.075269	0.7936508	1.149425	0.9433963	1.25	0.990099	0.8849558	1.315789	1.234568	1.234568	1.369863	1.388889	1.515152	1.052632	1.265823	1.010101	0.9259259	0.8264462	0.8928571	1.030928	1.041667	1.190476	1.010101	0.9174312	1.470588	1.041667	1.234568	0.8064516	1.149425	1.204819	1.408451	0.5555556	1.219512	0.8547009	0.8695652	0.9615385	1.388889	1.06383	1.351351	1.111111	1.123595	1.219512	1.086957	0.6711409
g9	3.448276	1.923077	3.846154	4.545455	3.571429	2.222222	2.777778	2.702703	3.571429	3.333333	2.173913	2.439024	2.222222	3.030303	3.030303	2	3.333333	3.333333	2.857143	3.333333	3.333333	3.571429	2.777778	1.06383	0.9009009	0.9803922	0.9803922	0.7462686	1.408451	1.449275	1.075269	1.694915	1.5625	0.9708738	1.388889	2.777778	0.9009009	1.5625	0.8474576	0.9090909	1.282051	1.098901	0.8130081	0.7518797	0.7518797	2.380952	0.6849315	3.225806	0.6802721	4	0.8547009	1.470588	0.6756757
g10	0.5102041	1.030928	0.952381	0.9090909	0.6097561	0.621118	0.8	1.041667	0.6802721	1.960784	1.785714	0.8130081	0.7246377	0.7518797	1.204819	0.9090909	0.7042254	0.6944444	1.030928	0.9174312	2.272727	0.9259259	0.6944444	0.9345794	1.333333	0.7518797	0.8474576	1.351351	1.25	0.7874016	1.333333	0.4694836	0.9174312	1.408451	0.8474576	0.7194245	1.190476	1.724138	1.190476	1.639344	1.612903	1.351351	0.6097561	1.176471	0.9615385	0.9615385	2.941176	0.8064516	0.8064516	0.5555556	1.052632	0.9174312	1.333333
g11	1.204819	1.886793	1.25	1.515152	1.149425	1.149425	0.862069	1.010101	1.020408	1.123595	0.7936508	1.219512	0.877193	1.234568	0.952381	0.3584229	0.8333333	0.7751938	0.6578947	0.990099	1.587302	1.098901	0.7462686	0.7462686	1.123595	1.190476	0.9615385	1.351351	1.162791	1.136364	0.9708738	1.052632	1.449275	1.075269	0.9345794	1.098901	2.083333	1.298701	1.538462	1.282051	1.123595	1.086957	1.298701	1.219512	0.9433963	0.9433963	1.282051	0.9259259	0.6578947	0.4115226	1.030928	0.9345794	1.369863
g12	0.152439	0.5050505	0.2457002	0.1945525	0.5988024	0.1011122	0.8403361	2.5	1.408451	0.8130081	0.3846154	0.3937008	0.0704225	0.2487562	0.5649717	1.818182	0.0414938	0.6369426	0.0219154	1.515152	1.388889	0.6896551	0.7518797	0.9345794	1.369863	0.9174312	0.6896551	0.877193	0.4329004	1.25	0.3125	0.3012048	0.9090909	0.5347593	0.0696864	0.3205128	2.702703	0.5181347	2.325581	1.492537	0.1243781	0.625	0.2808989	0.1811594	3.225806	0.0239636	0.8333333	0.1751314	0.4545454	2.439024	0.2237137	0.0353357	0.6329114
